year,gdp_per_capita,unemployment_rate,population,urban_pct,country_code
2023,54776.7668235491,3.071,83287273.0,81.9034366692129,DE
2010,58104.5445594981,7.746,5547683.0,86.8652420043945,DK
2011,61809.737898222,7.769,5570572.0,87.1567653955846,DK
2012,58443.7747103968,7.798,5591572.0,87.2336196899414,DK
2013,61377.5940590412,7.384,5614932.0,87.5436524760432,DK
2014,62520.4509747011,6.925,5643475.0,87.6823985731907,DK
2015,53094.0133607574,6.278,5683483.0,87.7254056577329,DK
2016,54500.9260410217,5.989,5728010.0,87.6999969482422,DK
2017,57521.5514992225,5.833,5764980.0,88.0161943799509,DK
2018,61324.7665045565,5.131,5793636.0,88.1059762310689,DK
2019,59404.2663247723,5.018,5814422.0,88.2096490810669,DK
2020,60985.4885601514,5.644,5831404.0,88.2394485473632,DK
2021,69340.7334922138,5.065,5856733.0,88.2616449318149,DK
2022,67781.0940939514,4.434,5903037.0,88.3880239837703,DK
2023,68043.5466971243,5.094,5946952.0,88.552638542867,DK
2010,14663.7041018705,16.707,1331475.0,67.8048042926262,EE
2011,17555.5455239426,12.328,1327439.0,67.8775556334506,EE
2012,17568.2137969714,10.021,1322696.0,67.9629593320316,EE
2013,19310.3874900757,8.631,1317997.0,68.0923458296768,EE
2014,20581.7898991695,7.352,1314545.0,68.2668382808032,EE
2015,17722.1557669523,6.412,1315407.0,68.4796609690553,EE
2016,18666.3736521706,6.882,1315790.0,68.724038178078,EE
2017,20851.5223496861,5.807,1317384.0,68.9931941915158,EE
2018,23618.1361254581,5.412,1321977.0,69.2803532930133,EE
2019,24021.2501413306,4.514,1326898.0,69.5787397662154,EE
2020,23933.9939421065,6.956,1329522.0,69.8815778947665,EE
2021,27951.1659277744,6.178,1330932.0,70.1777274135822,EE
2022,28340.3826549406,5.571,1348840.0,70.4892333736738,EE
2023,30264.0064885057,6.378,1370286.0,70.6770085523126,EE
2010,30658.7422282912,19.86,46576897.0,78.5138156234888,ES
2011,31824.6219134777,21.39,46742697.0,78.695397956495,ES
2012,28456.4438151477,24.789,46773055.0,78.8455680301618,ES
2013,29228.846559842,26.094,46604197.0,78.9858086902112,ES
2014,29707.765509467,24.441,46460733.0,79.1196713833488,ES
2015,25982.4416197775,22.057,46422303.0,79.2454892743023,ES
2016,26755.6061149398,19.635,46458139.0,79.3615955277997,ES
2017,28381.3425596906,17.224,46571232.0,79.4663233085683,ES
2018,30602.4212881113,15.255,46782011.0,79.5580057813361,ES
