year,country,actual,predicted,error
2019,BE,12885.000000000002,32052.0952873698,-19167.095287369797
2020,BE,14774.999999999989,25229.494014771557,-10454.494014771568
2021,BE,39930.00000000003,15013.872564157426,24916.1274358426
2022,BE,112270.00000000003,26319.83147621923,85950.1685237808
2023,BE,59229.99999999997,23495.88171949892,35734.11828050105
2019,BE,27505.00000000002,35395.14599551229,-7890.145995512274
2020,BE,16734.999999999996,37643.34628908186,-20908.346289081866
2021,BE,25034.999999999985,19783.85459754218,5251.145402457805
2022,BE,36794.99999999999,24960.834829775114,11834.165170224878
2023,BE,35225.00000000002,31378.795318738266,3846.2046812617555
2019,BG,2150.0,7117.513556059615,-4967.513556059615
2020,BG,3525.0000000000023,5163.129421351687,-1638.1294213516844
2021,BG,10999.999999999993,3946.6727363193327,7053.32726368066
2022,BG,20389.999999999996,4820.541143934512,15569.458856065485
2023,BG,22510.0,6069.8923076513565,16440.107692348643
2019,CY,13649.999999999989,3028.2300219069984,10621.76997809299
2020,CY,7495.000000000001,3100.8254267354305,4394.17457326457
2021,CY,13670.0,2469.8489296713265,11200.151070328673
2022,CY,22189.999999999996,1887.8589422441753,20302.14105775582
2023,CY,11910.000000000005,2357.4142940807146,9552.585705919291
2019,CZ,1920.0000000000007,1629.0644512181061,290.93554878189457
2020,CZ,1165.0,1480.0606928096108,-315.0606928096108
2021,CZ,1409.9999999999993,837.233964127782,572.7660358722173
2022,CZ,1689.9999999999993,1305.1713212963675,384.8286787036318
2023,CZ,1405.0000000000005,1604.8678461732388,-199.86784617323838
2019,DE,165684.9999999999,270592.6076702826,-104907.60767028268
2020,DE,122015.0,229640.22735458135,-107625.22735458135
2021,DE,190614.99999999988,127238.7137487936,63376.286251206286
2022,DE,243880.0,167826.093509788,76053.90649021199
2023,DE,351600.00000000006,211779.32093942678,139820.67906057328
2019,DK,2740.0000000000005,12120.262756387643,-9380.262756387643
2020,DK,1489.9999999999995,11134.708825973605,-9644.708825973605
2021,DK,2100.0000000000005,4599.294827277145,-2499.294827277144
2022,DK,4595.000000000001,5771.917691863136,-1176.9176918631347
2023,DK,2480.0000000000005,6116.493874820773,-3636.493874820773
2019,EE,104.99999999999997,196.25730675763188,-91.25730675763191
2020,EE,50.0,180.83209098910868,-130.83209098910868
2021,EE,80.00000000000003,99.33039260321617,-19.33039260321614
2022,EE,2945.0000000000005,109.79920070762287,2835.2007992923777
2023,EE,3985.0000000000005,101.16248606319468,3883.837513936806
2019,ES,117815.00000000001,15599.97471843193,102215.02528156809
2020,ES,88540.0,19897.56341666607,68642.43658333393
2021,ES,65314.999999999985,13852.884773453254,51462.11522654673
2022,ES,117959.99999999999,29435.09444279568,88524.9055572043
2023,ES,162435.00000000015,18728.176024536457,143706.8239754637
2019,FI,4534.999999999999,7100.085355104327,-2565.0853551043283
2020,FI,3204.999999999999,10729.48863507987,-7524.488635079871
2021,FI,2539.9999999999995,3434.906175098629,-894.9061750986293
2022,FI,5804.999999999997,5101.498301543426,703.5016984565709
2023,FI,5354.999999999999,4687.350357800597,667.6496421994025
2019,FR,151069.99999999994,110949.59435776845,40120.40564223149
2020,FR,93200.00000000006,153273.79941563605,-60073.79941563599
2021,FR,120704.99999999991,70032.38918115366,50672.61081884625
2022,FR,156569.99999999994,114133.09008788192,42436.90991211802
2023,FR,167055.0,117680.89032043797,49374.109679562025
2019,GR,77285.00000000003,25710.954726582695,51574.04527341733
2020,GR,40560.00000000002,26617.84812351768,13942.151876482341
2021,GR,28355.000000000007,28994.993505358012,-639.9935053580048
2022,GR,37379.99999999997,28818.46573059739,8561.534269402582
2023,GR,64229.99999999998,42944.66569966483,21285.334300335147
2019,HR,1399.9999999999995,144.17918604371673,1255.8208139562828
2020,HR,1605.0,107.89414531139724,1497.1058546886027
2021,HR,2549.999999999999,77.26675246824556,2472.7332475317535
2022,HR,2730.000000000001,105.9922431601941,2624.007756839807
2023,HR,1750.0000000000002,103.30461087628122,1646.695389123719
2019,HU,499.9999999999999,11227.31276348405,-10727.31276348405
2020,HU,114.99999999999999,9293.363291988448,-9178.363291988448
2021,HU,40.00000000000001,5563.33420382439,-5523.33420382439
2022,HU,45.0,8787.345428712686,-8742.345428712686
2023,HU,30.0,9096.926023681452,-9066.926023681452
2019,IE,4779.999999999996,1433.0497589724175,3346.950241027579
2020,IE,1564.9999999999998,996.0465443474885,568.9534556525113
2021,IE,2650.0,353.07348467491863,2296.9265153250813
2022,IE,13659.999999999989,418.2505574531098,13241.74944254688
2023,IE,13274.999999999993,525.5495483193425,12749.45045168065
