country,date,GDP,Fossil_Fuels,CO2_emit,Urban_pop
Austria,1990,21680.989623313,79.1323454283578,58275.7,4833974.0
Austria,1991,22410.9117666654,79.1270071565054,62423.2,4861464.0
Austria,1992,24880.1641180361,77.2372111742877,57668.0,4893935.0
Austria,1993,24081.5277928004,77.0111424905957,57804.0,4912877.0
Austria,1994,25646.7006591684,77.5857075750902,58288.2,4910076.0
Austria,1995,30325.8495818396,77.9827986809595,61186.4,4895821.0
Austria,1996,29809.0767730821,78.1981869435088,64902.9,4880469.0
Austria,1997,26705.4785993891,78.4161240499479,64224.1,4864091.0
Austria,1998,27361.8751106437,78.5155637093458,64673.1,4847335.0
Austria,1999,27183.4759263956,76.6073284458913,63055.1,4834637.0
Austria,2000,24625.6007227434,76.5352922346138,63538.6,4824004.0
Austria,2001,24558.7636778868,76.8963890335462,67914.4,4820068.0
Austria,2002,26527.5930910347,77.3108741675121,69374.2,4821291.0
Austria,2003,32294.0488606559,78.1444293048315,74467.9,4822095.0
Austria,2004,36889.2335135194,77.699293658191,75802.1,4829142.0
Austria,2005,38417.4577857677,77.0304294299819,76242.4,4839033.0
Austria,2006,40669.3269586152,74.6983342403424,74104.4,4839801.0
Austria,2007,46915.3374004507,72.6297785377108,71248.0,4832038.0
Austria,2008,51919.9835754226,71.5548631026855,70734.7,4823638.0
Austria,2009,48153.3240199631,69.8365077164139,64420.7,4812679.0
Austria,2010,46903.7615854343,70.2670570317288,69965.1,4800510.0
Austria,2011,51442.2762464407,69.1541833994512,68276.0,4792887.0
Austria,2012,48564.9173350875,67.3025067863473,65112.0,4817487.0
Austria,2013,50731.1272541847,66.2538035085394,65752.7,4861991.0
Austria,2014,51786.3771747905,64.8131564661468,62054.5,4916377.0
Austria,2015,44195.8175947748,65.6618219894727,63254.7,4988134.0
Belgium,1990,20600.3752789827,75.8158699605793,109312.6,9606261.0
Belgium,1991,21041.6606519648,76.3970068269749,113960.1,9650427.0
